county,year,group,value
Appling,2018,All Races,27.659574468085108
Appling,2019,All Races,25.37313432835821
Appling,2020,All Races,21.374045801526716
Appling,2021,All Races,28.78787878787879
Appling,2022,All Races,24.62686567164179
Appling,2023,All Races,28.8135593220339
Appling,2024,All Races,25.352112676056336
Appling,2018,White,25.961538461538463
Appling,2019,White,23.58490566037736
Appling,2020,White,19
Appling,2021,White,26.53061224489796
Appling,2022,White,25.471698113207548
Appling,2023,White,32.18390804597701
Appling,2024,White,25.862068965517242
Appling,2018,Black or African-American,31.428571428571427
Appling,2019,Black or African-American,29.629629629629626
Appling,2020,Black or African-American,30.76923076923077
Appling,2021,Black or African-American,33.33333333333333
Appling,2022,Black or African-American,20
Appling,2023,Black or African-American,18.51851851851852
Appling,2024,Black or African-American,22.727272727272727
Appling,2018,Selected Races Total,27.33812949640288
Appling,2019,Selected Races Total,24.81203007518797
Appling,2020,Selected Races Total,21.428571428571427
Appling,2021,Selected Races Total,28.125
Appling,2022,Selected Races Total,24.427480916030532
Appling,2023,Selected Races Total,28.947368421052634
Appling,2024,Selected Races Total,25.36231884057971
Atkinson,2018,All Races,17.56756756756757
Atkinson,2019,All Races,15.714285714285714
Atkinson,2020,All Races,24.637681159420293
Atkinson,2021,All Races,13.20754716981132
Atkinson,2022,All Races,17.1875
Atkinson,2023,All Races,28.000000000000004
Atkinson,2024,All Races,24.615384615384617
Atkinson,2018,White,18.96551724137931
Atkinson,2019,White,16.39344262295082
Atkinson,2020,White,24.59016393442623
Atkinson,2021,White,12.76595744680851
Atkinson,2022,White,17.02127659574468
Atkinson,2023,White,29.6875
Atkinson,2024,White,26.08695652173913
Atkinson,2018,Black or African-American,-5
Atkinson,2019,Black or African-American,-5
Atkinson,2020,Black or African-American,-5
Atkinson,2021,Black or African-American,0
Atkinson,2022,Black or African-American,-5
Atkinson,2023,Black or African-American,0
Atkinson,2024,Black or African-American,-5
Atkinson,2018,Selected Races Total,17.56756756756757
Atkinson,2019,Selected Races Total,16.417910447761194
Atkinson,2020,Selected Races Total,26.5625
Atkinson,2021,Selected Races Total,11.76470588235294
Atkinson,2022,Selected Races Total,17.543859649122805
Atkinson,2023,Selected Races Total,29.230769230769234
Atkinson,2024,Selected Races Total,25
Bacon,2018,All Races,34.065934065934066
Bacon,2019,All Races,25
Bacon,2020,All Races,28.037383177570092
Bacon,2021,All Races,29.166666666666668
Bacon,2022,All Races,25.97402597402597
Bacon,2023,All Races,17.894736842105264
Bacon,2024,All Races,25.806451612903224
Bacon,2018,White,39.39393939393939
Bacon,2019,White,20.37037037037037
Bacon,2020,White,26.08695652173913
Bacon,2021,White,18.6046511627907
Bacon,2022,White,18.181818181818183
Bacon,2023,White,17.5
Bacon,2024,White,20.8955223880597
Bacon,2018,Black or African-American,-5
Bacon,2019,Black or African-American,43.75
Bacon,2020,Black or African-American,32.25806451612903
Bacon,2021,Black or African-American,42.30769230769231
Bacon,2022,Black or African-American,50
Bacon,2023,Black or African-American,-5
Bacon,2024,Black or African-American,36.36363636363637
