county,year,value
Appling,2018,27.659574468085108
Appling,2019,25.37313432835821
Appling,2020,21.374045801526716
Appling,2021,28.78787878787879
Appling,2022,24.62686567164179
Appling,2023,28.8135593220339
Appling,2024,25.352112676056336
Atkinson,2018,17.56756756756757
Atkinson,2019,15.714285714285714
Atkinson,2020,24.637681159420293
Atkinson,2021,13.20754716981132
Atkinson,2022,17.1875
Atkinson,2023,28.000000000000004
Atkinson,2024,24.615384615384617
Bacon,2018,34.065934065934066
Bacon,2019,25
Bacon,2020,28.037383177570092
Bacon,2021,29.166666666666668
Bacon,2022,25.97402597402597
Bacon,2023,17.894736842105264
Bacon,2024,25.806451612903224
Baker,2018,38.095238095238095
Baker,2019,33.33333333333333
Baker,2020,35.714285714285715
Baker,2021,40
Baker,2022,-5
Baker,2023,33.33333333333333
Baker,2024,-5
Baldwin,2018,19.172932330827066
Baldwin,2019,24.892703862660944
Baldwin,2020,28.991596638655466
Baldwin,2021,24.347826086956523
Baldwin,2022,29.43722943722944
Baldwin,2023,26.10619469026549
Baldwin,2024,23.949579831932773
Banks,2018,29.629629629629626
Banks,2019,28.205128205128204
Banks,2020,29.906542056074763
Banks,2021,18.045112781954884
Banks,2022,25.196850393700785
Banks,2023,27.586206896551722
Banks,2024,24.161073825503358
Barrow,2018,26.916802610114193
Barrow,2019,21.69657422512235
Barrow,2020,21.333333333333336
Barrow,2021,21.50537634408602
Barrow,2022,26.067073170731707
Barrow,2023,24.594992636229748
Barrow,2024,25.119236883942765
Bartow,2018,25.348189415041784
Bartow,2019,23.88059701492537
Bartow,2020,25.35760728218466
Bartow,2021,24.59016393442623
Bartow,2022,24.587912087912088
Bartow,2023,25.798212005108557
Bartow,2024,27.04714640198511
Ben Hill,2018,22.131147540983605
Ben Hill,2019,23.448275862068964
Ben Hill,2020,27.500000000000004
Ben Hill,2021,27.34375
Ben Hill,2022,23.770491803278688
Ben Hill,2023,28.431372549019606
Ben Hill,2024,27.027027027027028
Berrien,2018,28.37837837837838
Berrien,2019,29.22077922077922
Berrien,2020,28.888888888888886
Berrien,2021,32.231404958677686
Berrien,2022,32.33082706766917
Berrien,2023,28.346456692913385
Berrien,2024,27.00729927007299
Bibb,2018,29.17369308600337
Bibb,2019,27.22772277227723
Bibb,2020,29.142857142857142
Bibb,2021,28.820598006644516
Bibb,2022,29.200652528548126
Bibb,2023,25.57726465364121
Bibb,2024,27.77777777777778
Bleckley,2018,24.675324675324674
Bleckley,2019,19.565217391304348
Bleckley,2020,28.235294117647058
Bleckley,2021,25
Bleckley,2022,25.757575757575758
Bleckley,2023,21.59090909090909
Bleckley,2024,30.263157894736842
Brantley,2018,29.45205479452055
Brantley,2019,27.559055118110237
Brantley,2020,27.131782945736433
Brantley,2021,28.07017543859649
Brantley,2022,29.6875
Brantley,2023,37.06896551724138
Brantley,2024,36.885245901639344
Brooks,2018,30.76923076923077
Brooks,2019,25.454545454545453
Brooks,2020,29.7029702970297
Brooks,2021,21.052631578947366
Brooks,2022,33.980582524271846
Brooks,2023,26.41509433962264
Brooks,2024,25.688073394495415
Bryan,2018,22.641509433962266
Bryan,2019,20.3125
Bryan,2020,20.949720670391063
Bryan,2021,19.346049046321525
Bryan,2022,24.40318302387268
Bryan,2023,24.2603550295858
Bryan,2024,21.428571428571427
Bulloch,2018,25.22851919561243
Bulloch,2019,26.011560693641616
Bulloch,2020,26.47058823529412
Bulloch,2021,24.652087475149106
Bulloch,2022,24.742268041237114
Bulloch,2023,24.50199203187251
Bulloch,2024,24.173553719008265
Burke,2018,22.277227722772277
Burke,2019,24.293785310734464
Burke,2020,25.882352941176475
Burke,2021,23.391812865497073
Burke,2022,23.121387283236995
Burke,2023,23.42857142857143
Burke,2024,27.325581395348834
Butts,2018,24.358974358974358
Butts,2019,25.78616352201258
Butts,2020,25.165562913907287
Butts,2021,18.93491124260355
Butts,2022,24.431818181818183
Butts,2023,17.8343949044586
Butts,2024,19.58041958041958
Calhoun,2018,25
Calhoun,2019,31.03448275862069
Calhoun,2020,25
Calhoun,2021,35.294117647058826
Calhoun,2022,39.285714285714285
Calhoun,2023,28.000000000000004
Calhoun,2024,34.48275862068966
Camden,2018,22.371364653243848
Camden,2019,25.86605080831409
Camden,2020,28.438228438228435
Camden,2021,23.25581395348837
Camden,2022,24.20814479638009
Camden,2023,25.062656641604008
Camden,2024,24.170616113744074
Candler,2018,34.24657534246575
Candler,2019,24.137931034482758
Candler,2020,24.691358024691358
Candler,2021,20.833333333333336
Candler,2022,25.925925925925924
Candler,2023,21.428571428571427
Candler,2024,30.666666666666664
Carroll,2018,23.314917127071823
Carroll,2019,25.302530253025303
Carroll,2020,25.843881856540087
Carroll,2021,26.004464285714285
Carroll,2022,23.66325369738339
Carroll,2023,25.892857142857146
Carroll,2024,26.94063926940639
Catoosa,2018,28.703703703703702
Catoosa,2019,26.071428571428573
Catoosa,2020,21.693121693121693
Catoosa,2021,23.452768729641694
Catoosa,2022,26.08695652173913
Catoosa,2023,23.474178403755868
Catoosa,2024,27.27272727272727
Charlton,2018,18.666666666666668
Charlton,2019,15.873015873015872
Charlton,2020,23.4375
Charlton,2021,22.666666666666664
Charlton,2022,30
Charlton,2023,18.30985915492958
Charlton,2024,37.28813559322034
Chatham,2018,23.191899710703954
Chatham,2019,23.034825870646767
Chatham,2020,23.22250639386189
Chatham,2021,22.49877989263055
Chatham,2022,24.091587854654055
Chatham,2023,26.27471383975026
Chatham,2024,21.633085896076352
