county,year,group,value
Appling,2018,All Payors,9.375
Appling,2019,All Payors,11.210762331838566
Appling,2020,All Payors,13.270142180094787
Appling,2021,All Payors,10.74766355140187
Appling,2022,All Payors,13.425925925925927
Appling,2023,All Payors,7.547169811320755
Appling,2024,All Payors,5.172413793103448
Appling,2018,Medicaid payors,14.736842105263156
Appling,2019,Medicaid payors,13.131313131313133
Appling,2020,Medicaid payors,13.953488372093023
Appling,2021,Medicaid payors,15.454545454545453
Appling,2022,Medicaid payors,17.16417910447761
Appling,2023,Medicaid payors,5.839416058394161
Appling,2024,Medicaid payors,6.6115702479338845
Appling,2018,Private Insurance,-5
Appling,2019,Private Insurance,9.67741935483871
Appling,2020,Private Insurance,12.307692307692308
Appling,2021,Private Insurance,-5
Appling,2022,Private Insurance,-5
Appling,2023,Private Insurance,12.76595744680851
Appling,2024,Private Insurance,-5
Appling,2018,Selected Payors Total,11.11111111111111
Appling,2019,Selected Payors Total,11.801242236024844
Appling,2020,Selected Payors Total,13.245033112582782
Appling,2021,Selected Payors Total,11.688311688311687
Appling,2022,Selected Payors Total,14.444444444444443
Appling,2023,Selected Payors Total,7.608695652173914
Appling,2024,Selected Payors Total,6.153846153846154
Atkinson,2018,All Payors,6.349206349206349
Atkinson,2019,All Payors,9.558823529411764
Atkinson,2020,All Payors,5.785123966942149
Atkinson,2021,All Payors,8.928571428571429
Atkinson,2022,All Payors,9.774436090225564
Atkinson,2023,All Payors,7.913669064748201
Atkinson,2024,All Payors,6.7164179104477615
Atkinson,2018,Medicaid payors,7.368421052631578
Atkinson,2019,Medicaid payors,11.11111111111111
Atkinson,2020,Medicaid payors,-5
Atkinson,2021,Medicaid payors,10.975609756097562
Atkinson,2022,Medicaid payors,9.433962264150944
Atkinson,2023,Medicaid payors,10.416666666666668
Atkinson,2024,Medicaid payors,9.090909090909092
Atkinson,2018,Private Insurance,-5
Atkinson,2019,Private Insurance,-5
Atkinson,2020,Private Insurance,-5
Atkinson,2021,Private Insurance,-5
Atkinson,2022,Private Insurance,0
Atkinson,2023,Private Insurance,-5
Atkinson,2024,Private Insurance,0
Atkinson,2018,Selected Payors Total,7.547169811320755
Atkinson,2019,Selected Payors Total,9.821428571428571
Atkinson,2020,Selected Payors Total,5.88235294117647
Atkinson,2021,Selected Payors Total,10.416666666666668
Atkinson,2022,Selected Payors Total,8.928571428571429
Atkinson,2023,Selected Payors Total,9.734513274336283
Atkinson,2024,Selected Payors Total,8
Bacon,2018,All Payors,7.741935483870968
Bacon,2019,All Payors,13.636363636363635
Bacon,2020,All Payors,11.515151515151516
Bacon,2021,All Payors,6.25
Bacon,2022,All Payors,9.48905109489051
Bacon,2023,All Payors,9.696969696969697
Bacon,2024,All Payors,12.716763005780345
Bacon,2018,Medicaid payors,5.454545454545454
Bacon,2019,Medicaid payors,15.053763440860216
Bacon,2020,Medicaid payors,15.65217391304348
Bacon,2021,Medicaid payors,8.737864077669903
Bacon,2022,Medicaid payors,11.11111111111111
Bacon,2023,Medicaid payors,11.650485436893204
Bacon,2024,Medicaid payors,15.74074074074074
Bacon,2018,Private Insurance,-5
Bacon,2019,Private Insurance,-5
Bacon,2020,Private Insurance,-5
Bacon,2021,Private Insurance,0
Bacon,2022,Private Insurance,-5
Bacon,2023,Private Insurance,-5
Bacon,2024,Private Insurance,17.857142857142858
Bacon,2018,Selected Payors Total,6.8181818181818175
Bacon,2019,Selected Payors Total,14.529914529914532
Bacon,2020,Selected Payors Total,13.47517730496454
Bacon,2021,Selected Payors Total,7.258064516129033
Bacon,2022,Selected Payors Total,10.434782608695652
Bacon,2023,Selected Payors Total,10.948905109489052
Bacon,2024,Selected Payors Total,16.176470588235293
Baker,2018,All Payors,-5
Baker,2019,All Payors,-5
Baker,2020,All Payors,24
Baker,2021,All Payors,-5
Baker,2022,All Payors,-5
Baker,2023,All Payors,0
Baker,2024,All Payors,18.181818181818183
Baker,2018,Medicaid payors,-5
Baker,2019,Medicaid payors,-5
Baker,2020,Medicaid payors,-5
Baker,2021,Medicaid payors,0
Baker,2022,Medicaid payors,-5
Baker,2023,Medicaid payors,0
Baker,2024,Medicaid payors,-5
Baker,2018,Private Insurance,0
Baker,2019,Private Insurance,-5
Baker,2020,Private Insurance,-5
Baker,2021,Private Insurance,-5
Baker,2022,Private Insurance,0
Baker,2023,Private Insurance,0
Baker,2024,Private Insurance,0
Baker,2018,Selected Payors Total,-5
Baker,2019,Selected Payors Total,-5
Baker,2020,Selected Payors Total,20.833333333333336
Baker,2021,Selected Payors Total,-5
Baker,2022,Selected Payors Total,-5
Baker,2023,Selected Payors Total,0
Baker,2024,Selected Payors Total,-5
Baldwin,2018,All Payors,12.23021582733813
Baldwin,2019,All Payors,11.363636363636363
Baldwin,2020,All Payors,10.071942446043165
Baldwin,2021,All Payors,11.609498680738787
Baldwin,2022,All Payors,11.645569620253164
Baldwin,2023,All Payors,10.485933503836318
Baldwin,2024,All Payors,12.009803921568627
Baldwin,2018,Medicaid payors,13.986013986013987
Baldwin,2019,Medicaid payors,12.547528517110266
Baldwin,2020,Medicaid payors,11.262798634812286
Baldwin,2021,Medicaid payors,12.903225806451612
Baldwin,2022,Medicaid payors,13.909774436090224
Baldwin,2023,Medicaid payors,11.72161172161172
Baldwin,2024,Medicaid payors,14.391143911439114
Baldwin,2018,Private Insurance,7.000000000000001
Baldwin,2019,Private Insurance,8.108108108108109
Baldwin,2020,Private Insurance,5.263157894736842
Baldwin,2021,Private Insurance,9.090909090909092
Baldwin,2022,Private Insurance,-5
Baldwin,2023,Private Insurance,5.952380952380952
Baldwin,2024,Private Insurance,9.523809523809524
Baldwin,2018,Selected Payors Total,12.176165803108809
Baldwin,2019,Selected Payors Total,11.229946524064172
Baldwin,2020,Selected Payors Total,9.793814432989691
Baldwin,2021,Selected Payors Total,12.07865168539326
