county,year,group,value
Appling,2018,All Races,9.375
Appling,2019,All Races,11.210762331838566
Appling,2020,All Races,13.270142180094787
Appling,2021,All Races,10.74766355140187
Appling,2022,All Races,13.425925925925927
Appling,2023,All Races,7.547169811320755
Appling,2024,All Races,5.172413793103448
Appling,2018,White,6.321839080459771
Appling,2019,White,11.363636363636363
Appling,2020,White,11.585365853658537
Appling,2021,White,7.6923076923076925
Appling,2022,White,8.771929824561402
Appling,2023,White,7.142857142857142
Appling,2024,White,3.664921465968586
Appling,2018,Black or African-American,20.930232558139537
Appling,2019,Black or African-American,12.195121951219512
Appling,2020,Black or African-American,22.5
Appling,2021,Black or African-American,21.27659574468085
Appling,2022,Black or African-American,35.8974358974359
Appling,2023,Black or African-American,10
Appling,2024,Black or African-American,-5
Appling,2018,Selected Races Total,9.216589861751153
Appling,2019,Selected Races Total,11.52073732718894
Appling,2020,Selected Races Total,13.725490196078432
Appling,2021,Selected Races Total,10.83743842364532
Appling,2022,Selected Races Total,13.80952380952381
Appling,2023,Selected Races Total,7.8431372549019605
Appling,2024,Selected Races Total,4.910714285714286
Atkinson,2018,All Races,6.349206349206349
Atkinson,2019,All Races,9.558823529411764
Atkinson,2020,All Races,5.785123966942149
Atkinson,2021,All Races,8.928571428571429
Atkinson,2022,All Races,9.774436090225564
Atkinson,2023,All Races,7.913669064748201
Atkinson,2024,All Races,6.7164179104477615
Atkinson,2018,White,4.854368932038835
Atkinson,2019,White,7.339449541284404
Atkinson,2020,White,6.9306930693069315
Atkinson,2021,White,7.608695652173914
Atkinson,2022,White,9.375
Atkinson,2023,White,7.6923076923076925
Atkinson,2024,White,6.122448979591836
Atkinson,2018,Black or African-American,-5
Atkinson,2019,Black or African-American,-5
Atkinson,2020,Black or African-American,0
Atkinson,2021,Black or African-American,-5
Atkinson,2022,Black or African-American,-5
Atkinson,2023,Black or African-American,-5
Atkinson,2024,Black or African-American,-5
Atkinson,2018,Selected Races Total,6.349206349206349
Atkinson,2019,Selected Races Total,7.258064516129033
Atkinson,2020,Selected Races Total,6.481481481481481
Atkinson,2021,Selected Races Total,7.6923076923076925
Atkinson,2022,Selected Races Total,9.25925925925926
Atkinson,2023,Selected Races Total,8.928571428571429
Atkinson,2024,Selected Races Total,6.837606837606838
Bacon,2018,All Races,7.741935483870968
Bacon,2019,All Races,13.636363636363635
Bacon,2020,All Races,11.515151515151516
Bacon,2021,All Races,6.25
Bacon,2022,All Races,9.48905109489051
Bacon,2023,All Races,9.696969696969697
Bacon,2024,All Races,12.716763005780345
Bacon,2018,White,8.620689655172415
Bacon,2019,White,12.76595744680851
Bacon,2020,White,7.207207207207207
Bacon,2021,White,-5
Bacon,2022,White,6.862745098039216
Bacon,2023,White,5.9259259259259265
Bacon,2024,White,9.848484848484848
Bacon,2018,Black or African-American,-5
Bacon,2019,Black or African-American,17.647058823529413
Bacon,2020,Black or African-American,22.22222222222222
Bacon,2021,Black or African-American,-5
Bacon,2022,Black or African-American,20
Bacon,2023,Black or African-American,28.000000000000004
Bacon,2024,Black or African-American,25.71428571428571
Bacon,2018,Selected Races Total,7.4324324324324325
Bacon,2019,Selected Races Total,14.0625
Bacon,2020,Selected Races Total,11.538461538461538
Bacon,2021,Selected Races Total,4.411764705882353
Bacon,2022,Selected Races Total,9.848484848484848
Bacon,2023,Selected Races Total,9.375
Bacon,2024,Selected Races Total,13.17365269461078
Baker,2018,All Races,-5
Baker,2019,All Races,-5
Baker,2020,All Races,24
Baker,2021,All Races,-5
Baker,2022,All Races,-5
Baker,2023,All Races,0
Baker,2024,All Races,18.181818181818183
Baker,2018,White,0
Baker,2019,White,-5
Baker,2020,White,-5
Baker,2021,White,-5
Baker,2022,White,-5
Baker,2023,White,0
Baker,2024,White,-5
Baker,2018,Black or African-American,-5
Baker,2019,Black or African-American,0
Baker,2020,Black or African-American,-5
Baker,2021,Black or African-American,-5
Baker,2022,Black or African-American,-5
Baker,2023,Black or African-American,0
Baker,2024,Black or African-American,38.46153846153847
Baker,2018,Selected Races Total,-5
Baker,2019,Selected Races Total,-5
Baker,2020,Selected Races Total,24
Baker,2021,Selected Races Total,-5
Baker,2022,Selected Races Total,-5
Baker,2023,Selected Races Total,0
Baker,2024,Selected Races Total,18.181818181818183
Baldwin,2018,All Races,12.23021582733813
Baldwin,2019,All Races,11.363636363636363
Baldwin,2020,All Races,10.071942446043165
Baldwin,2021,All Races,11.609498680738787
Baldwin,2022,All Races,11.645569620253164
Baldwin,2023,All Races,10.485933503836318
Baldwin,2024,All Races,12.009803921568627
Baldwin,2018,White,9.35960591133005
Baldwin,2019,White,9.793814432989691
Baldwin,2020,White,7.6923076923076925
Baldwin,2021,White,10.05586592178771
Baldwin,2022,White,6.077348066298343
Baldwin,2023,White,3.79746835443038
Baldwin,2024,White,9.94475138121547
Baldwin,2018,Black or African-American,15.609756097560975
Baldwin,2019,Black or African-American,13.978494623655912
Baldwin,2020,Black or African-American,12.10762331838565
Baldwin,2021,Black or African-American,13.440860215053762
Baldwin,2022,Black or African-American,16.748768472906402
Baldwin,2023,Black or African-American,15.789473684210526
Baldwin,2024,Black or African-American,14.903846153846153
Baldwin,2018,Selected Races Total,12.5
Baldwin,2019,Selected Races Total,11.842105263157894
Baldwin,2020,Selected Races Total,10.123456790123457
Baldwin,2021,Selected Races Total,11.78082191780822
Baldwin,2022,Selected Races Total,11.71875
Baldwin,2023,Selected Races Total,10.626702997275205
