county,year,value
Appling,2018,9.375
Appling,2019,11.210762331838566
Appling,2020,13.270142180094787
Appling,2021,10.74766355140187
Appling,2022,13.425925925925927
Appling,2023,7.547169811320755
Appling,2024,5.172413793103448
Atkinson,2018,6.349206349206349
Atkinson,2019,9.558823529411764
Atkinson,2020,5.785123966942149
Atkinson,2021,8.928571428571429
Atkinson,2022,9.774436090225564
Atkinson,2023,7.913669064748201
Atkinson,2024,6.7164179104477615
Bacon,2018,7.741935483870968
Bacon,2019,13.636363636363635
Bacon,2020,11.515151515151516
Bacon,2021,6.25
Bacon,2022,9.48905109489051
Bacon,2023,9.696969696969697
Bacon,2024,12.716763005780345
Baker,2018,-5
Baker,2019,-5
Baker,2020,24
Baker,2021,-5
Baker,2022,-5
Baker,2023,0
Baker,2024,18.181818181818183
Baldwin,2018,12.23021582733813
Baldwin,2019,11.363636363636363
Baldwin,2020,10.071942446043165
Baldwin,2021,11.609498680738787
Baldwin,2022,11.645569620253164
Baldwin,2023,10.485933503836318
Baldwin,2024,12.009803921568627
Banks,2018,8.173076923076923
Banks,2019,4.615384615384616
Banks,2020,9.523809523809524
Banks,2021,8.571428571428571
Banks,2022,7.916666666666666
Banks,2023,10.0418410041841
Banks,2024,6.870229007633588
Barrow,2018,6.889952153110047
Barrow,2019,9.330819981149858
Barrow,2020,7.6996197718631185
Barrow,2021,8.288770053475936
Barrow,2022,9.32277924362357
Barrow,2023,9.294871794871796
Barrow,2024,7.770007770007769
Bartow,2018,8.193979933110368
Bartow,2019,7.662538699690402
Bartow,2020,6.559877955758962
Bartow,2021,7.9587324981577
Bartow,2022,7.335329341317365
Bartow,2023,7.530774800868937
Bartow,2024,8.541392904073588
Ben Hill,2018,16.25615763546798
Ben Hill,2019,15.384615384615385
Ben Hill,2020,11.64021164021164
Ben Hill,2021,11.881188118811881
Ben Hill,2022,11.594202898550725
Ben Hill,2023,16.748768472906402
Ben Hill,2024,11.855670103092782
Berrien,2018,13.852813852813853
Berrien,2019,11.11111111111111
Berrien,2020,14.000000000000002
Berrien,2021,10.194174757281553
Berrien,2022,11.009174311926607
Berrien,2023,6.944444444444445
Berrien,2024,10.95890410958904
Bibb,2018,13.719353155972874
Bibb,2019,13.096446700507613
Bibb,2020,13.09887869520897
Bibb,2021,15.020366598778004
Bibb,2022,14.32896064581231
Bibb,2023,14.87513572204126
Bibb,2024,13.951067152524727
Bleckley,2018,7.258064516129033
Bleckley,2019,10.95890410958904
Bleckley,2020,10.236220472440944
Bleckley,2021,12.5
Bleckley,2022,11.570247933884298
Bleckley,2023,14.482758620689657
Bleckley,2024,9.022556390977442
Brantley,2018,10.330578512396695
Brantley,2019,8.91089108910891
Brantley,2020,11.538461538461538
Brantley,2021,11.11111111111111
Brantley,2022,12.676056338028168
Brantley,2023,10.050251256281408
Brantley,2024,11.87214611872146
Brooks,2018,10.975609756097562
Brooks,2019,16.574585635359114
Brooks,2020,9.659090909090908
Brooks,2021,17.708333333333336
Brooks,2022,11.39240506329114
Brooks,2023,10
Brooks,2024,10.891089108910892
Bryan,2018,8.704061895551257
Bryan,2019,10.30741410488246
Bryan,2020,8.89261744966443
Bryan,2021,7.939189189189189
Bryan,2022,8.056872037914692
Bryan,2023,7.094594594594595
Bryan,2024,9.929078014184398
Bulloch,2018,9.211986681465039
Bulloch,2019,8.78754171301446
Bulloch,2020,8.208092485549132
Bulloch,2021,10.685249709639953
Bulloch,2022,12.52847380410023
Bulloch,2023,10.154525386313466
