County,Low Birthweight % 2018,Low Birthweight % 2024,Δ 2018→2024,Slope (%/yr),p-value,Years of data
Twiggs,5.88,-5.0,-10.88,-1.21,0.45,7
Quitman,-5.0,-5.0,0.0,0.0,,7
Schley,-5.0,-5.0,0.0,0.67,0.72,7
Echols,10.2,-5.0,-15.2,-1.67,0.3,7
Clay,-5.0,-5.0,0.0,2.47,0.27,7
Glascock,-5.0,-5.0,0.0,-0.36,0.36,7
Webster,-5.0,0.0,5.0,2.05,0.19,7
Taliaferro,-5.0,0.0,5.0,0.54,0.33,7
Jefferson,9.79,4.38,-5.41,-0.22,0.82,7
Crawford,13.39,5.05,-8.34,-0.83,0.16,7
Appling,9.38,5.17,-4.2,-0.71,0.24,7
Heard,7.86,5.38,-2.47,-0.25,0.63,7
Morgan,7.35,5.41,-1.95,0.05,0.89,7
Candler,11.11,5.43,-5.68,-1.13,0.06,7
Dade,8.18,5.47,-2.71,0.28,0.59,7
Oconee,7.29,5.54,-1.75,-0.02,0.94,7
Habersham,7.94,5.55,-2.39,-0.33,0.37,7
Dawson,8.88,5.92,-2.96,-0.34,0.33,7
Fannin,6.22,6.12,-0.1,-0.06,0.9,7
Atkinson,6.35,6.72,0.37,0.06,0.85,7
Banks,8.17,6.87,-1.3,0.19,0.62,7
Rabun,9.72,6.9,-2.83,-0.04,0.94,7
Cherokee,7.15,6.92,-0.22,-0.09,0.4,7
Lumpkin,3.83,7.03,3.19,0.39,0.13,7
Towns,7.69,7.06,-0.63,1.61,0.3,7
Gilmer,7.14,7.08,-0.06,0.18,0.31,7
Pickens,10.56,7.1,-3.46,-0.34,0.32,7
Seminole,7.32,7.21,-0.11,-0.69,0.49,7
Marion,9.28,7.25,-2.03,-0.63,0.2,7
Chattahoochee,10.64,7.27,-3.37,-0.13,0.74,7
Floyd,9.29,7.32,-1.97,-0.18,0.25,7
Columbia,7.23,7.36,0.13,-0.04,0.81,7
Walton,9.33,7.39,-1.95,0.02,0.92,7
Catoosa,8.91,7.4,-1.52,-0.2,0.13,7
Charlton,9.43,7.53,-1.91,-0.84,0.12,7
Hall,6.37,7.62,1.25,0.15,0.3,7
Miller,13.24,7.69,-5.54,-0.6,0.22,7
Barrow,6.89,7.77,0.88,0.15,0.47,7
Camden,9.18,7.83,-1.35,-0.14,0.31,7
Jackson,8.65,7.84,-0.81,0.03,0.87,7
Walker,9.4,7.87,-1.53,-0.11,0.44,7
Whitfield,6.77,8.09,1.32,0.08,0.55,7
Forsyth,7.38,8.16,0.79,0.07,0.52,7
Carroll,9.02,8.19,-0.83,0.02,0.91,7
