county,year,group,value
Appling,2018,All Payors,21.62162162162162
Appling,2019,All Payors,17.48878923766816
Appling,2020,All Payors,18.75
Appling,2021,All Payors,21.5962441314554
Appling,2022,All Payors,18.22429906542056
Appling,2023,All Payors,19.138755980861244
Appling,2024,All Payors,20.087336244541483
Appling,2018,Medicaid payors,26.595744680851062
Appling,2019,Medicaid payors,18.181818181818183
Appling,2020,Medicaid payors,25.882352941176475
Appling,2021,Medicaid payors,17.431192660550458
Appling,2022,Medicaid payors,17.424242424242426
Appling,2023,Medicaid payors,17.16417910447761
Appling,2024,Medicaid payors,15.966386554621847
Appling,2018,Private Insurance,7.462686567164178
Appling,2019,Private Insurance,-5
Appling,2020,Private Insurance,7.6923076923076925
Appling,2021,Private Insurance,13.636363636363635
Appling,2022,Private Insurance,-5
Appling,2023,Private Insurance,12.76595744680851
Appling,2024,Private Insurance,12.32876712328767
Appling,2018,Selected Payors Total,18.633540372670808
Appling,2019,Selected Payors Total,13.043478260869565
Appling,2020,Selected Payors Total,18
Appling,2021,Selected Payors Total,16.33986928104575
Appling,2022,Selected Payors Total,15.168539325842698
Appling,2023,Selected Payors Total,16.022099447513813
Appling,2024,Selected Payors Total,14.583333333333334
Atkinson,2018,All Payors,19.047619047619047
Atkinson,2019,All Payors,16.911764705882355
Atkinson,2020,All Payors,14.049586776859504
Atkinson,2021,All Payors,9.821428571428571
Atkinson,2022,All Payors,14.393939393939394
Atkinson,2023,All Payors,11.76470588235294
Atkinson,2024,All Payors,19.230769230769234
Atkinson,2018,Medicaid payors,16.842105263157894
Atkinson,2019,Medicaid payors,12.222222222222221
Atkinson,2020,Medicaid payors,12.048192771084338
Atkinson,2021,Medicaid payors,9.75609756097561
Atkinson,2022,Medicaid payors,11.428571428571429
Atkinson,2023,Medicaid payors,12.76595744680851
Atkinson,2024,Medicaid payors,9.523809523809524
Atkinson,2018,Private Insurance,-5
Atkinson,2019,Private Insurance,-5
Atkinson,2020,Private Insurance,-5
Atkinson,2021,Private Insurance,0
Atkinson,2022,Private Insurance,0
Atkinson,2023,Private Insurance,0
Atkinson,2024,Private Insurance,-5
Atkinson,2018,Selected Payors Total,16.9811320754717
Atkinson,2019,Selected Payors Total,11.607142857142858
Atkinson,2020,Selected Payors Total,11.76470588235294
Atkinson,2021,Selected Payors Total,8.333333333333332
Atkinson,2022,Selected Payors Total,10.81081081081081
Atkinson,2023,Selected Payors Total,10.81081081081081
Atkinson,2024,Selected Payors Total,10.416666666666668
Bacon,2018,All Payors,24.836601307189543
Bacon,2019,All Payors,12.213740458015266
Bacon,2020,All Payors,15.950920245398773
Bacon,2021,All Payors,15.384615384615385
Bacon,2022,All Payors,23.703703703703706
Bacon,2023,All Payors,15
Bacon,2024,All Payors,26.190476190476193
Bacon,2018,Medicaid payors,26.605504587155966
Bacon,2019,Medicaid payors,13.978494623655912
Bacon,2020,Medicaid payors,15.789473684210526
Bacon,2021,Medicaid payors,19.607843137254903
Bacon,2022,Medicaid payors,27.55102040816326
Bacon,2023,Medicaid payors,14.000000000000002
Bacon,2024,Medicaid payors,22.330097087378643
Bacon,2018,Private Insurance,-5
Bacon,2019,Private Insurance,-5
Bacon,2020,Private Insurance,-5
Bacon,2021,Private Insurance,0
Bacon,2022,Private Insurance,-5
Bacon,2023,Private Insurance,-5
Bacon,2024,Private Insurance,-5
Bacon,2018,Selected Payors Total,23.846153846153847
Bacon,2019,Selected Payors Total,12.068965517241379
Bacon,2020,Selected Payors Total,13.66906474820144
Bacon,2021,Selected Payors Total,16.260162601626014
Bacon,2022,Selected Payors Total,24.561403508771928
Bacon,2023,Selected Payors Total,11.363636363636363
Bacon,2024,Selected Payors Total,20.610687022900763
Baker,2018,All Payors,20
Baker,2019,All Payors,-5
Baker,2020,All Payors,20
