county,year,group,value
Appling,2018,All Races,21.62162162162162
Appling,2019,All Races,17.48878923766816
Appling,2020,All Races,18.75
Appling,2021,All Races,21.5962441314554
Appling,2022,All Races,18.22429906542056
Appling,2023,All Races,19.138755980861244
Appling,2024,All Races,20.087336244541483
Appling,2018,White,19.653179190751445
Appling,2019,White,14.204545454545455
Appling,2020,White,17.391304347826086
Appling,2021,White,21.794871794871796
Appling,2022,White,16.470588235294116
Appling,2023,White,18.181818181818183
Appling,2024,White,16.48936170212766
Appling,2018,Black or African-American,28.57142857142857
Appling,2019,Black or African-American,29.268292682926827
Appling,2020,Black or African-American,25
Appling,2021,Black or African-American,23.91304347826087
Appling,2022,Black or African-American,26.31578947368421
Appling,2023,Black or African-American,14.285714285714285
Appling,2024,Black or African-American,33.33333333333333
Appling,2018,Selected Races Total,21.3953488372093
Appling,2019,Selected Races Total,17.050691244239633
Appling,2020,Selected Races Total,18.90547263681592
Appling,2021,Selected Races Total,22.277227722772277
Appling,2022,Selected Races Total,18.269230769230766
Appling,2023,Selected Races Total,17.24137931034483
Appling,2024,Selected Races Total,19.004524886877828
Atkinson,2018,All Races,19.047619047619047
Atkinson,2019,All Races,16.911764705882355
Atkinson,2020,All Races,14.049586776859504
Atkinson,2021,All Races,9.821428571428571
Atkinson,2022,All Races,14.393939393939394
Atkinson,2023,All Races,11.76470588235294
Atkinson,2024,All Races,19.230769230769234
Atkinson,2018,White,18.446601941747574
Atkinson,2019,White,18.34862385321101
Atkinson,2020,White,12.871287128712872
Atkinson,2021,White,10.869565217391305
Atkinson,2022,White,15.789473684210526
Atkinson,2023,White,10.891089108910892
Atkinson,2024,White,19.148936170212767
Atkinson,2018,Black or African-American,21.73913043478261
Atkinson,2019,Black or African-American,-5
Atkinson,2020,Black or African-American,-5
Atkinson,2021,Black or African-American,-5
Atkinson,2022,Black or African-American,-5
Atkinson,2023,Black or African-American,0
Atkinson,2024,Black or African-American,-5
Atkinson,2018,Selected Races Total,19.047619047619047
Atkinson,2019,Selected Races Total,18.548387096774192
Atkinson,2020,Selected Races Total,13.88888888888889
Atkinson,2021,Selected Races Total,10.576923076923077
Atkinson,2022,Selected Races Total,15.887850467289718
Atkinson,2023,Selected Races Total,10.091743119266056
Atkinson,2024,Selected Races Total,18.58407079646018
Bacon,2018,All Races,24.836601307189543
Bacon,2019,All Races,12.213740458015266
Bacon,2020,All Races,15.950920245398773
Bacon,2021,All Races,15.384615384615385
Bacon,2022,All Races,23.703703703703706
Bacon,2023,All Races,15
Bacon,2024,All Races,26.190476190476193
Bacon,2018,White,24.347826086956523
Bacon,2019,White,9.67741935483871
Bacon,2020,White,12.844036697247708
Bacon,2021,White,8.421052631578947
Bacon,2022,White,18
Bacon,2023,White,14.285714285714285
Bacon,2024,White,25.581395348837212
Bacon,2018,Black or African-American,21.875
Bacon,2019,Black or African-American,20.588235294117645
Bacon,2020,Black or African-American,17.77777777777778
Bacon,2021,Black or African-American,30
Bacon,2022,Black or African-American,36.666666666666664
Bacon,2023,Black or African-American,22.727272727272727
Bacon,2024,Black or African-American,33.33333333333333
Bacon,2018,Selected Races Total,23.809523809523807
Bacon,2019,Selected Races Total,12.598425196850393
Bacon,2020,Selected Races Total,14.285714285714285
Bacon,2021,Selected Races Total,14.814814814814813
Bacon,2022,Selected Races Total,22.30769230769231
Bacon,2023,Selected Races Total,15.483870967741936
Bacon,2024,Selected Races Total,27.160493827160494
Baker,2018,All Races,20
Baker,2019,All Races,-5
Baker,2020,All Races,20
Baker,2021,All Races,36.36363636363637
Baker,2022,All Races,-5
Baker,2023,All Races,24.137931034482758
Baker,2024,All Races,21.875
Baker,2018,White,-5
Baker,2019,White,-5
Baker,2020,White,-5
Baker,2021,White,41.17647058823529
Baker,2022,White,-5
Baker,2023,White,-5
Baker,2024,White,-5
Baker,2018,Black or African-American,35.714285714285715
Baker,2019,Black or African-American,-5
Baker,2020,Black or African-American,-5
Baker,2021,Black or African-American,31.25
Baker,2022,Black or African-American,-5
Baker,2023,Black or African-American,-5
Baker,2024,Black or African-American,-5
Baker,2018,Selected Races Total,20.588235294117645
Baker,2019,Selected Races Total,-5
Baker,2020,Selected Races Total,20
Baker,2021,Selected Races Total,36.36363636363637
Baker,2022,Selected Races Total,-5
Baker,2023,Selected Races Total,21.428571428571427
Baker,2024,Selected Races Total,21.875
Baldwin,2018,All Races,20
Baldwin,2019,All Races,22.78481012658228
Baldwin,2020,All Races,21.686746987951807
Baldwin,2021,All Races,13.492063492063492
Baldwin,2022,All Races,17.480719794344473
Baldwin,2023,All Races,26.666666666666668
Baldwin,2024,All Races,22.443890274314214
Baldwin,2018,White,16.417910447761194
Baldwin,2019,White,17.525773195876287
Baldwin,2020,White,16.666666666666664
Baldwin,2021,White,6.70391061452514
Baldwin,2022,White,11.797752808988763
Baldwin,2023,White,21.518987341772153
Baldwin,2024,White,16.574585635359114
Baldwin,2018,Black or African-American,23.414634146341466
Baldwin,2019,Black or African-American,28.64864864864865
Baldwin,2020,Black or African-American,25.56053811659193
Baldwin,2021,Black or African-American,19.45945945945946
Baldwin,2022,Black or African-American,22.5
Baldwin,2023,Black or African-American,28.846153846153843
Baldwin,2024,Black or African-American,25.870646766169152
Baldwin,2018,Selected Races Total,19.950738916256157
Baldwin,2019,Selected Races Total,22.95514511873351
Baldwin,2020,Selected Races Total,21.588089330024815
Baldwin,2021,Selected Races Total,13.186813186813188
Baldwin,2022,Selected Races Total,17.46031746031746
Baldwin,2023,Selected Races Total,25.683060109289617
Baldwin,2024,Selected Races Total,21.465968586387437
Banks,2018,All Races,14.572864321608039
Banks,2019,All Races,13.559322033898304
Banks,2020,All Races,9.62566844919786
Banks,2021,All Races,9.243697478991598
