county,year,value
Appling,2018,21.62162162162162
Appling,2019,17.48878923766816
Appling,2020,18.75
Appling,2021,21.5962441314554
Appling,2022,18.22429906542056
Appling,2023,19.138755980861244
Appling,2024,20.087336244541483
Atkinson,2018,19.047619047619047
Atkinson,2019,16.911764705882355
Atkinson,2020,14.049586776859504
Atkinson,2021,9.821428571428571
Atkinson,2022,14.393939393939394
Atkinson,2023,11.76470588235294
Atkinson,2024,19.230769230769234
Bacon,2018,24.836601307189543
Bacon,2019,12.213740458015266
Bacon,2020,15.950920245398773
Bacon,2021,15.384615384615385
Bacon,2022,23.703703703703706
Bacon,2023,15
Bacon,2024,26.190476190476193
Baker,2018,20
Baker,2019,-5
Baker,2020,20
Baker,2021,36.36363636363637
Baker,2022,-5
Baker,2023,24.137931034482758
Baker,2024,21.875
Baldwin,2018,20
Baldwin,2019,22.78481012658228
Baldwin,2020,21.686746987951807
Baldwin,2021,13.492063492063492
Baldwin,2022,17.480719794344473
Baldwin,2023,26.666666666666668
Baldwin,2024,22.443890274314214
Banks,2018,14.572864321608039
Banks,2019,13.559322033898304
Banks,2020,9.62566844919786
Banks,2021,9.243697478991598
Banks,2022,12.658227848101266
Banks,2023,10.300429184549357
Banks,2024,12.156862745098039
Barrow,2018,13.779527559055119
Barrow,2019,9.468599033816426
Barrow,2020,11.132437619961612
Barrow,2021,10.81081081081081
Barrow,2022,11.654804270462634
Barrow,2023,12.336601307189543
Barrow,2024,13.507109004739338
Bartow,2018,16.524701873935264
Bartow,2019,17.034700315457414
Bartow,2020,17
Bartow,2021,15.961395694135113
Bartow,2022,14.37216338880484
Bartow,2023,15.215801024140454
Bartow,2024,18.206338503034388
Ben Hill,2018,15.422885572139302
Ben Hill,2019,18.4549356223176
Ben Hill,2020,21.164021164021165
Ben Hill,2021,17.91044776119403
Ben Hill,2022,24.154589371980677
Ben Hill,2023,13.930348258706468
Ben Hill,2024,18.421052631578945
Berrien,2018,15.486725663716813
Berrien,2019,15.021459227467812
Berrien,2020,15.577889447236181
Berrien,2021,15.121951219512194
Berrien,2022,12.844036697247708
Berrien,2023,18.13953488372093
Berrien,2024,23.394495412844037
Bibb,2018,17.60042283298097
Bibb,2019,16.032887975334017
Bibb,2020,18.453608247422682
Bibb,2021,18.798151001540834
Bibb,2022,22.351748606183477
Bibb,2023,23.12295973884657
Bibb,2024,23.161189358372457
Bleckley,2018,16.93548387096774
Bleckley,2019,8.333333333333332
Bleckley,2020,20.634920634920633
Bleckley,2021,22.033898305084744
Bleckley,2022,18.487394957983195
Bleckley,2023,16.783216783216783
Bleckley,2024,19.696969696969695
Brantley,2018,31.40495867768595
Brantley,2019,35.32338308457712
Brantley,2020,41.54589371980676
Brantley,2021,35.92233009708738
Brantley,2022,20.379146919431278
Brantley,2023,15.736040609137056
Brantley,2024,11.267605633802818
Brooks,2018,22.085889570552148
Brooks,2019,26.519337016574585
Brooks,2020,23.863636363636363
Brooks,2021,26.31578947368421
Brooks,2022,25.477707006369428
Brooks,2023,24.705882352941178
Brooks,2024,33.83084577114428
Bryan,2018,14.84375
Bryan,2019,16.360294117647058
Bryan,2020,18.855218855218855
Bryan,2021,15.619694397283531
Bryan,2022,12.88244766505636
Bryan,2023,13.986013986013987
Bryan,2024,21.518987341772153
Bulloch,2018,14.891179839633448
Bulloch,2019,13.302752293577983
Bulloch,2020,18.203309692671397
Bulloch,2021,18.386714116251483
Bulloch,2022,14.169570267131244
Bulloch,2023,13.19052987598647
Bulloch,2024,18.087557603686637
Burke,2018,15.120274914089347
Burke,2019,17.314487632508836
Burke,2020,11.678832116788321
Burke,2021,16.911764705882355
Burke,2022,15.306122448979592
Burke,2023,13.157894736842104
Burke,2024,26.881720430107524
Butts,2018,22.66187050359712
Butts,2019,17.24137931034483
Butts,2020,16.153846153846153
Butts,2021,12.878787878787879
Butts,2022,14.695340501792115
Butts,2023,16.260162601626014
Butts,2024,21.942446043165468
Calhoun,2018,22.916666666666664
Calhoun,2019,32
Calhoun,2020,21.568627450980394
Calhoun,2021,22.58064516129032
Calhoun,2022,21.428571428571427
Calhoun,2023,20.833333333333336
Calhoun,2024,39.473684210526315
Camden,2018,26.264044943820224
Camden,2019,23.783031988873436
Camden,2020,22.127659574468083
Camden,2021,20.434782608695652
Camden,2022,25.30612244897959
Camden,2023,19.11111111111111
Camden,2024,29.908256880733948
Candler,2018,19.834710743801654
Candler,2019,16.030534351145036
Candler,2020,16.176470588235293
Candler,2021,26
Candler,2022,19.424460431654676
Candler,2023,13.114754098360656
Candler,2024,16.535433070866144
Carroll,2018,27.140883977900554
Carroll,2019,34.60275771503611
Carroll,2020,24.440052700922266
Carroll,2021,21.151271753681392
