County,Inadequate PNC % 2018,Inadequate PNC % 2024,Δ 2018→2024,Slope (%/yr),p-value,Years of data
Quitman,26.32,-5.0,-31.32,-3.13,0.43,7
Stewart,21.21,-5.0,-26.21,-3.57,0.17,7
Taliaferro,-5.0,-5.0,0.0,0.0,,7
Oconee,14.5,8.81,-5.68,-0.76,0.22,7
Fannin,14.57,9.73,-4.84,-0.75,0.52,7
White,11.79,9.89,-1.9,-0.24,0.07,7
Pickens,15.1,10.03,-5.07,-1.47,0.29,7
Montgomery,18.37,10.48,-7.89,0.11,0.92,7
Lumpkin,7.69,10.66,2.96,0.11,0.74,7
Union,6.71,10.7,3.99,0.71,0.09,7
Forsyth,8.42,10.85,2.43,0.31,0.23,7
Brantley,31.4,11.27,-20.14,-4.31,0.03,7
Pike,9.5,11.63,2.13,0.05,0.92,7
Dawson,9.45,11.75,2.3,0.17,0.66,7
Coffee,17.07,12.13,-4.94,-0.36,0.29,7
Banks,14.57,12.16,-2.42,-0.38,0.37,7
Jeff Davis,19.43,12.24,-7.18,-0.62,0.19,7
Jackson,13.17,12.59,-0.59,0.02,0.96,7
Clinch,23.75,12.66,-11.09,-1.09,0.23,7
Rabun,19.15,12.68,-6.47,-0.32,0.69,7
Jones,8.99,12.97,3.98,0.71,0.01,7
Morgan,11.06,13.15,2.09,0.46,0.31,7
Franklin,15.92,13.44,-2.48,-0.59,0.3,7
Barrow,13.78,13.51,-0.27,0.19,0.55,7
Walton,16.68,13.68,-3.01,-0.42,0.45,7
Jasper,10.07,13.87,3.81,0.85,0.29,7
Clarke,22.52,14.93,-7.59,-1.01,0.22,7
Oglethorpe,18.18,15.26,-2.92,-0.65,0.49,7
Toombs,15.41,15.54,0.14,0.43,0.37,7
Wayne,18.98,15.62,-3.36,-0.56,0.34,7
Madison,19.18,15.62,-3.56,-0.3,0.74,7
Lamar,12.67,15.79,3.12,0.37,0.28,7
Fayette,12.29,16.44,4.15,0.47,0.32,7
Coweta,14.26,16.48,2.23,0.15,0.76,7
Candler,19.83,16.54,-3.3,-0.45,0.62,7
Chattahoochee,8.44,16.67,8.22,1.17,0.1,7
Crisp,22.54,16.67,-5.87,-0.47,0.63,7
Greene,26.9,16.85,-10.05,-1.41,0.21,7
Schley,21.28,17.02,-4.26,-1.3,0.62,7
Upson,17.35,17.14,-0.2,-0.05,0.92,7
Emanuel,14.01,17.46,3.45,1.05,0.06,7
Monroe,9.42,17.54,8.12,1.06,0.02,7
Irwin,14.81,17.71,2.89,1.08,0.23,7
Harris,13.95,17.76,3.8,-0.17,0.83,7
Habersham,22.25,17.84,-4.41,-0.52,0.37,7
Bulloch,14.89,18.09,3.2,0.19,0.71,7
Pulaski,22.22,18.18,-4.04,0.21,0.82,7
Bartow,16.52,18.21,1.68,-0.04,0.87,7
Gwinnett,14.66,18.41,3.75,0.36,0.43,7
Towns,5.32,18.42,13.1,1.48,0.15,7
Ben Hill,15.42,18.42,3.0,0.1,0.89,7
Treutlen,-5.0,18.6,23.6,4.04,0.05,7
Cook,22.33,18.67,-3.66,-0.87,0.04,7
Tattnall,15.9,18.7,2.8,0.31,0.13,7
Stephens,16.93,19.14,2.21,0.21,0.41,7
Cherokee,16.02,19.17,3.15,-0.04,0.96,7
Crawford,9.82,19.19,9.37,1.09,0.12,7
Atkinson,19.05,19.23,0.18,-0.34,0.66,7
Seminole,17.07,19.32,2.25,0.81,0.56,7
Pierce,16.1,19.4,3.29,0.22,0.8,7
Paulding,17.98,19.4,1.42,0.21,0.69,7
Dooly,24.04,19.44,-4.59,-0.18,0.81,7
Wilkinson,23.0,19.61,-3.39,0.26,0.77,7
Wilkes,19.0,19.63,0.63,-0.53,0.59,7
Houston,15.15,19.68,4.53,1.09,0.03,7
Bleckley,16.94,19.7,2.76,0.82,0.38,7
Hart,18.07,19.82,1.76,0.07,0.9,7
Meriwether,19.09,20.0,0.91,0.04,0.93,7
Appling,21.62,20.09,-1.53,-0.07,0.85,7
Elbert,27.57,20.3,-7.27,-0.72,0.56,7
Worth,18.1,20.31,2.21,0.35,0.55,7
Laurens,11.73,20.35,8.62,2.34,0.02,7
Screven,16.57,20.61,4.03,0.3,0.42,7
Muscogee,19.17,20.73,1.56,0.02,0.97,7
Dodge,16.18,20.96,4.78,1.33,0.07,7
Taylor,19.32,20.97,1.65,0.19,0.64,7
Lanier,25.98,20.98,-5.01,-0.81,0.03,7
McIntosh,46.53,21.36,-25.18,-4.75,0.02,7
Telfair,15.13,21.43,6.3,1.8,0.15,7
Liberty,17.8,21.46,3.66,0.54,0.06,7
Sumter,21.17,21.51,0.34,0.13,0.75,7
Bryan,14.84,21.52,6.68,0.33,0.6,7
Murray,19.96,21.52,1.57,0.77,0.23,7
Twiggs,8.64,21.54,12.9,1.73,0.01,7
Gordon,20.52,21.64,1.11,1.35,0.34,7
Peach,12.24,21.71,9.46,1.64,0.01,7
Baker,20.0,21.88,1.88,1.39,0.68,7
Butts,22.66,21.94,-0.72,-0.2,0.8,7
Newton,19.03,22.1,3.07,0.31,0.56,7
Effingham,17.02,22.42,5.39,0.19,0.77,7
Baldwin,20.0,22.44,2.44,0.39,0.67,7
Glynn,45.16,22.46,-22.7,-5.12,0.02,7
Putnam,21.61,22.84,1.23,-0.16,0.82,7
Lee,16.29,22.85,6.56,1.0,0.15,7
Bibb,17.6,23.16,5.56,1.24,0.0,7
Berrien,15.49,23.39,7.91,0.97,0.14,7
Cobb,17.07,23.81,6.73,0.73,0.27,7
Spalding,20.34,24.16,3.82,-0.06,0.92,7
Heard,27.94,24.22,-3.72,-0.5,0.69,7
Long,20.27,24.3,4.04,0.54,0.24,7
Hall,15.19,24.47,9.28,1.09,0.02,7
Tift,14.39,24.48,10.09,1.22,0.08,7
Ware,19.88,24.82,4.94,0.57,0.21,7
Columbia,10.84,24.99,14.15,1.59,0.17,7
Glascock,-5.0,25.0,30.0,2.78,0.28,7
Fulton,21.61,25.03,3.42,0.29,0.61,7
Turner,16.8,25.22,8.42,1.17,0.28,7
Gilmer,27.38,25.23,-2.16,-1.03,0.53,7
Wilcox,20.0,25.32,5.32,1.48,0.08,7
Macon,16.03,25.6,9.57,0.92,0.13,7
Decatur,15.79,25.62,9.84,1.28,0.07,7
Floyd,24.18,25.63,1.44,0.26,0.61,7
Talbot,28.57,25.93,-2.65,-0.33,0.78,7
Haralson,21.86,25.93,4.07,-0.29,0.75,7
Rockdale,25.75,26.12,0.37,-0.03,0.96,7
Bacon,24.84,26.19,1.35,0.62,0.61,7
Douglas,28.1,26.22,-1.87,-0.67,0.27,7
Lowndes,23.23,26.58,3.35,0.52,0.09,7
Wheeler,17.14,26.79,9.64,2.05,0.02,7
Burke,15.12,26.88,11.76,1.09,0.28,7
DeKalb,24.2,26.97,2.76,0.11,0.89,7
Polk,27.08,27.26,0.18,-0.28,0.7,7
Johnson,8.08,27.27,19.19,3.5,0.0,7
Jenkins,16.35,27.27,10.93,0.98,0.3,7
Washington,12.39,27.42,15.03,2.92,0.01,7
Carroll,27.14,27.82,0.68,-0.51,0.56,7
Dougherty,27.01,27.84,0.84,0.1,0.89,7
Troup,27.28,28.12,0.83,0.36,0.74,7
Colquitt,21.96,28.9,6.94,0.72,0.28,7
Whitfield,21.0,28.96,7.96,1.55,0.01,7
Marion,20.65,28.99,8.33,0.99,0.43,7
Lincoln,15.07,29.41,14.34,1.45,0.29,7
Clay,26.67,29.41,2.75,2.14,0.53,7
