county,year,group,value
Appling,2018,All Payors,8.482142857142858
Appling,2019,All Payors,16.143497757847534
Appling,2020,All Payors,17.535545023696685
Appling,2021,All Payors,12.149532710280374
Appling,2022,All Payors,10.185185185185185
Appling,2023,All Payors,10.377358490566039
Appling,2024,All Payors,6.4655172413793105
Appling,2018,Medicaid payors,9.473684210526317
Appling,2019,Medicaid payors,20.2020202020202
Appling,2020,Medicaid payors,18.6046511627907
Appling,2021,Medicaid payors,15.454545454545453
Appling,2022,Medicaid payors,13.432835820895523
Appling,2023,Medicaid payors,10.218978102189782
Appling,2024,Medicaid payors,7.43801652892562
Appling,2018,Private Insurance,7.462686567164178
Appling,2019,Private Insurance,17.741935483870968
Appling,2020,Private Insurance,20
Appling,2021,Private Insurance,11.363636363636363
Appling,2022,Private Insurance,-5
Appling,2023,Private Insurance,12.76595744680851
Appling,2024,Private Insurance,-5
Appling,2018,Selected Payors Total,8.641975308641975
Appling,2019,Selected Payors Total,19.25465838509317
Appling,2020,Selected Payors Total,19.205298013245034
Appling,2021,Selected Payors Total,14.285714285714285
Appling,2022,Selected Payors Total,11.666666666666666
Appling,2023,Selected Payors Total,10.869565217391305
Appling,2024,Selected Payors Total,6.153846153846154
Atkinson,2018,All Payors,4.761904761904762
Atkinson,2019,All Payors,10.294117647058822
Atkinson,2020,All Payors,9.917355371900827
Atkinson,2021,All Payors,11.607142857142858
Atkinson,2022,All Payors,9.774436090225564
Atkinson,2023,All Payors,13.66906474820144
Atkinson,2024,All Payors,10.44776119402985
Atkinson,2018,Medicaid payors,5.263157894736842
Atkinson,2019,Medicaid payors,13.333333333333334
Atkinson,2020,Medicaid payors,8.433734939759036
Atkinson,2021,Medicaid payors,10.975609756097562
Atkinson,2022,Medicaid payors,9.433962264150944
Atkinson,2023,Medicaid payors,16.666666666666664
Atkinson,2024,Medicaid payors,9.090909090909092
Atkinson,2018,Private Insurance,-5
Atkinson,2019,Private Insurance,-5
Atkinson,2020,Private Insurance,-5
Atkinson,2021,Private Insurance,-5
Atkinson,2022,Private Insurance,0
Atkinson,2023,Private Insurance,-5
Atkinson,2024,Private Insurance,-5
Atkinson,2018,Selected Payors Total,5.660377358490567
Atkinson,2019,Selected Payors Total,11.607142857142858
Atkinson,2020,Selected Payors Total,10.784313725490197
Atkinson,2021,Selected Payors Total,11.458333333333332
Atkinson,2022,Selected Payors Total,8.928571428571429
Atkinson,2023,Selected Payors Total,15.04424778761062
Atkinson,2024,Selected Payors Total,9
Bacon,2018,All Payors,10.32258064516129
Bacon,2019,All Payors,12.121212121212121
Bacon,2020,All Payors,10.909090909090908
Bacon,2021,All Payors,7.638888888888889
Bacon,2022,All Payors,9.48905109489051
Bacon,2023,All Payors,14.545454545454545
Bacon,2024,All Payors,14.450867052023122
Bacon,2018,Medicaid payors,9.090909090909092
Bacon,2019,Medicaid payors,13.978494623655912
Bacon,2020,Medicaid payors,13.91304347826087
Bacon,2021,Medicaid payors,8.737864077669903
Bacon,2022,Medicaid payors,11.11111111111111
Bacon,2023,Medicaid payors,13.592233009708737
Bacon,2024,Medicaid payors,16.666666666666664
Bacon,2018,Private Insurance,-5
Bacon,2019,Private Insurance,-5
Bacon,2020,Private Insurance,-5
Bacon,2021,Private Insurance,-5
Bacon,2022,Private Insurance,-5
Bacon,2023,Private Insurance,-5
Bacon,2024,Private Insurance,21.428571428571427
Bacon,2018,Selected Payors Total,10.606060606060606
Bacon,2019,Selected Payors Total,12.82051282051282
Bacon,2020,Selected Payors Total,12.056737588652481
Bacon,2021,Selected Payors Total,8.870967741935484
Bacon,2022,Selected Payors Total,10.434782608695652
Bacon,2023,Selected Payors Total,13.138686131386862
Bacon,2024,Selected Payors Total,17.647058823529413
Baker,2018,All Payors,-5
Baker,2019,All Payors,18.51851851851852
Baker,2020,All Payors,24
Baker,2021,All Payors,-5
Baker,2022,All Payors,-5
Baker,2023,All Payors,-5
Baker,2024,All Payors,21.21212121212121
Baker,2018,Medicaid payors,-5
Baker,2019,Medicaid payors,-5
Baker,2020,Medicaid payors,-5
Baker,2021,Medicaid payors,-5
Baker,2022,Medicaid payors,-5
Baker,2023,Medicaid payors,-5
Baker,2024,Medicaid payors,-5
Baker,2018,Private Insurance,0
Baker,2019,Private Insurance,-5
Baker,2020,Private Insurance,-5
Baker,2021,Private Insurance,-5
Baker,2022,Private Insurance,-5
Baker,2023,Private Insurance,0
Baker,2024,Private Insurance,-5
Baker,2018,Selected Payors Total,-5
Baker,2019,Selected Payors Total,-5
Baker,2020,Selected Payors Total,20.833333333333336
Baker,2021,Selected Payors Total,-5
Baker,2022,Selected Payors Total,-5
Baker,2023,Selected Payors Total,-5
Baker,2024,Selected Payors Total,16.666666666666664
Baldwin,2018,All Payors,12.709832134292565
Baldwin,2019,All Payors,12.878787878787879
Baldwin,2020,All Payors,10.79136690647482
Baldwin,2021,All Payors,11.345646437994723
Baldwin,2022,All Payors,12.91139240506329
Baldwin,2023,All Payors,13.554987212276215
Baldwin,2024,All Payors,13.725490196078432
Baldwin,2018,Medicaid payors,13.286713286713287
Baldwin,2019,Medicaid payors,12.927756653992395
Baldwin,2020,Medicaid payors,11.604095563139932
Baldwin,2021,Medicaid payors,12.544802867383511
Baldwin,2022,Medicaid payors,14.285714285714285
Baldwin,2023,Medicaid payors,14.285714285714285
Baldwin,2024,Medicaid payors,16.974169741697416
Baldwin,2018,Private Insurance,9
Baldwin,2019,Private Insurance,11.711711711711711
Baldwin,2020,Private Insurance,5.263157894736842
Baldwin,2021,Private Insurance,6.493506493506493
Baldwin,2022,Private Insurance,8.24742268041237
Baldwin,2023,Private Insurance,11.904761904761903
Baldwin,2024,Private Insurance,7.6190476190476195
Baldwin,2018,Selected Payors Total,12.176165803108809
Baldwin,2019,Selected Payors Total,12.566844919786096
Baldwin,2020,Selected Payors Total,10.051546391752577
Baldwin,2021,Selected Payors Total,11.235955056179774
Baldwin,2022,Selected Payors Total,12.672176308539946
Baldwin,2023,Selected Payors Total,13.725490196078432
Baldwin,2024,Selected Payors Total,14.361702127659576
Banks,2018,All Payors,10.576923076923077
Banks,2019,All Payors,9.230769230769232
Banks,2020,All Payors,12.16931216931217
Banks,2021,All Payors,11.428571428571429
Banks,2022,All Payors,9.583333333333334
Banks,2023,All Payors,15.481171548117153
Banks,2024,All Payors,11.83206106870229
Banks,2018,Medicaid payors,10.256410256410255
Banks,2019,Medicaid payors,9.523809523809524
Banks,2020,Medicaid payors,14.285714285714285
Banks,2021,Medicaid payors,14.393939393939394
Banks,2022,Medicaid payors,12.605042016806722
Banks,2023,Medicaid payors,20
Banks,2024,Medicaid payors,12.5
Banks,2018,Private Insurance,12.048192771084338
Banks,2019,Private Insurance,8.450704225352112
Banks,2020,Private Insurance,9.782608695652174
Banks,2021,Private Insurance,8.91089108910891
Banks,2022,Private Insurance,6.666666666666667
Banks,2023,Private Insurance,10.743801652892563
Banks,2024,Private Insurance,11.267605633802818
Banks,2018,Selected Payors Total,11
Banks,2019,Selected Payors Total,9.090909090909092
Banks,2020,Selected Payors Total,11.834319526627219
Banks,2021,Selected Payors Total,12.017167381974248
Banks,2022,Selected Payors Total,9.821428571428571
Banks,2023,Selected Payors Total,15.151515151515152
Banks,2024,Selected Payors Total,11.76470588235294
Barrow,2018,All Payors,9.473684210526317
Barrow,2019,All Payors,11.969839773798304
Barrow,2020,All Payors,9.790874524714829
Barrow,2021,All Payors,11.76470588235294
Barrow,2022,All Payors,12.137203166226913
Barrow,2023,All Payors,10.016025641025642
Barrow,2024,All Payors,10.878010878010878
Barrow,2018,Medicaid payors,10.619469026548673
Barrow,2019,Medicaid payors,11.643835616438356
Barrow,2020,Medicaid payors,11.08695652173913
Barrow,2021,Medicaid payors,13.402061855670103
Barrow,2022,Medicaid payors,12.525252525252526
Barrow,2023,Medicaid payors,9.611829944547134
Barrow,2024,Medicaid payors,8.76068376068376
Barrow,2018,Private Insurance,8.477842003853564
Barrow,2019,Private Insurance,11.857707509881422
Barrow,2020,Private Insurance,9.054325955734406
Barrow,2021,Private Insurance,11.538461538461538
Barrow,2022,Private Insurance,12.359550561797752
Barrow,2023,Private Insurance,10.339256865912763
Barrow,2024,Private Insurance,11.948790896159316
Barrow,2018,Selected Payors Total,9.474768280123584
Barrow,2019,Selected Payors Total,11.758474576271187
Barrow,2020,Selected Payors Total,10.031347962382444
Barrow,2021,Selected Payors Total,12.415130940834143
Barrow,2022,Selected Payors Total,12.439261418853254
Barrow,2023,Selected Payors Total,10
Barrow,2024,Selected Payors Total,10.67463706233988
Bartow,2018,All Payors,11.872909698996656
Bartow,2019,All Payors,11.53250773993808
Bartow,2020,All Payors,9.916094584286803
Bartow,2021,All Payors,10.464259395725865
Bartow,2022,All Payors,10.404191616766468
Bartow,2023,All Payors,11.006517016654598
Bartow,2024,All Payors,10.840998685939553
Bartow,2018,Medicaid payors,12.703101920236337
Bartow,2019,Medicaid payors,11.315417256011315
Bartow,2020,Medicaid payors,10.195530726256983
Bartow,2021,Medicaid payors,9.748892171344165
Bartow,2022,Medicaid payors,11.234177215189874
Bartow,2023,Medicaid payors,9.9510603588907
Bartow,2024,Medicaid payors,9.6
Bartow,2018,Private Insurance,10.897435897435898
Bartow,2019,Private Insurance,11.650485436893204
Bartow,2020,Private Insurance,10.11029411764706
Bartow,2021,Private Insurance,10.628019323671497
Bartow,2022,Private Insurance,9.84974958263773
Bartow,2023,Private Insurance,10.98546042003231
Bartow,2024,Private Insurance,12.449255751014885
Bartow,2018,Selected Payors Total,11.965065502183405
Bartow,2019,Selected Payors Total,11.456628477905074
Bartow,2020,Selected Payors Total,10.158730158730158
Bartow,2021,Selected Payors Total,10.16949152542373
Bartow,2022,Selected Payors Total,10.560519902518278
Bartow,2023,Selected Payors Total,10.470779220779221
Bartow,2024,Selected Payors Total,11.143695014662756
Ben Hill,2018,All Payors,14.285714285714285
Ben Hill,2019,All Payors,10.256410256410255
Ben Hill,2020,All Payors,12.698412698412698
Ben Hill,2021,All Payors,15.346534653465346
Ben Hill,2022,All Payors,14.975845410628018
Ben Hill,2023,All Payors,16.748768472906402
Ben Hill,2024,All Payors,14.432989690721648
Ben Hill,2018,Medicaid payors,15.54054054054054
Ben Hill,2019,Medicaid payors,10.795454545454545
Ben Hill,2020,Medicaid payors,13.286713286713287
Ben Hill,2021,Medicaid payors,14.814814814814813
Ben Hill,2022,Medicaid payors,14.012738853503185
Ben Hill,2023,Medicaid payors,15.950920245398773
Ben Hill,2024,Medicaid payors,12.857142857142856
Ben Hill,2018,Private Insurance,12.82051282051282
Ben Hill,2019,Private Insurance,10
Ben Hill,2020,Private Insurance,-5
Ben Hill,2021,Private Insurance,-5
Ben Hill,2022,Private Insurance,15.151515151515152
Ben Hill,2023,Private Insurance,27.586206896551722
Ben Hill,2024,Private Insurance,26.47058823529412
Ben Hill,2018,Selected Payors Total,14.973262032085561
Ben Hill,2019,Selected Payors Total,10.619469026548673
Ben Hill,2020,Selected Payors Total,13.218390804597702
Ben Hill,2021,Selected Payors Total,14.583333333333334
Ben Hill,2022,Selected Payors Total,14.210526315789473
Ben Hill,2023,Selected Payors Total,17.708333333333336
Ben Hill,2024,Selected Payors Total,15.517241379310345
Berrien,2018,All Payors,11.688311688311687
Berrien,2019,All Payors,11.11111111111111
Berrien,2020,All Payors,12.5
Berrien,2021,All Payors,8.737864077669903
Berrien,2022,All Payors,9.174311926605505
Berrien,2023,All Payors,12.5
Berrien,2024,All Payors,17.80821917808219
Berrien,2018,Medicaid payors,11.11111111111111
Berrien,2019,Medicaid payors,13.461538461538462
Berrien,2020,Medicaid payors,13.970588235294118
Berrien,2021,Medicaid payors,9.774436090225564
Berrien,2022,Medicaid payors,8.823529411764707
Berrien,2023,Medicaid payors,15.384615384615385
Berrien,2024,Medicaid payors,18.30985915492958
Berrien,2018,Private Insurance,13.636363636363635
Berrien,2019,Private Insurance,8.771929824561402
Berrien,2020,Private Insurance,-5
Berrien,2021,Private Insurance,-5
Berrien,2022,Private Insurance,-5
Berrien,2023,Private Insurance,-5
Berrien,2024,Private Insurance,20.408163265306122
Berrien,2018,Selected Payors Total,11.904761904761903
Berrien,2019,Selected Payors Total,12.206572769953052
Berrien,2020,Selected Payors Total,12.5
Berrien,2021,Selected Payors Total,8.938547486033519
Berrien,2022,Selected Payors Total,7.179487179487179
Berrien,2023,Selected Payors Total,12.365591397849462
Berrien,2024,Selected Payors Total,18.848167539267017
Bibb,2018,All Payors,13.875847678664579
Bibb,2019,All Payors,14.873096446700506
Bibb,2020,All Payors,14.475025484199797
Bibb,2021,All Payors,16.34419551934827
Bibb,2022,All Payors,14.530776992936428
Bibb,2023,All Payors,13.952225841476656
Bibb,2024,All Payors,16.241540864133263
Bibb,2018,Medicaid payors,14.717273431448488
Bibb,2019,Medicaid payors,16.678966789667896
Bibb,2020,Medicaid payors,14.87101669195751
Bibb,2021,Medicaid payors,18.132716049382715
Bibb,2022,Medicaid payors,16.259541984732824
Bibb,2023,Medicaid payors,15.11627906976744
Bibb,2024,Medicaid payors,18.467220683287167
Bibb,2018,Private Insurance,10.775862068965516
Bibb,2019,Private Insurance,9.333333333333334
Bibb,2020,Private Insurance,12.850467289719624
Bibb,2021,Private Insurance,11.845102505694761
Bibb,2022,Private Insurance,8.68596881959911
Bibb,2023,Private Insurance,10.926365795724466
Bibb,2024,Private Insurance,13.123844731977819
Bibb,2018,Selected Payors Total,13.675213675213676
Bibb,2019,Selected Payors Total,14.84764542936288
Bibb,2020,Selected Payors Total,14.375715922107673
Bibb,2021,Selected Payors Total,16.54178674351585
Bibb,2022,Selected Payors Total,14.326321773735076
Bibb,2023,Selected Payors Total,14.03076923076923
Bibb,2024,Selected Payors Total,16.6871921182266
Bleckley,2018,All Payors,6.451612903225806
