county,year,group,value
Appling,2018,All Races,8.482142857142858
Appling,2019,All Races,16.143497757847534
Appling,2020,All Races,17.535545023696685
Appling,2021,All Races,12.149532710280374
Appling,2022,All Races,10.185185185185185
Appling,2023,All Races,10.377358490566039
Appling,2024,All Races,6.4655172413793105
Appling,2018,White,6.896551724137931
Appling,2019,White,16.477272727272727
Appling,2020,White,16.463414634146343
Appling,2021,White,10.897435897435898
Appling,2022,White,7.017543859649122
Appling,2023,White,9.090909090909092
Appling,2024,White,5.2356020942408374
Appling,2018,Black or African-American,13.953488372093023
Appling,2019,Black or African-American,17.073170731707318
Appling,2020,Black or African-American,25
Appling,2021,Black or African-American,17.02127659574468
Appling,2022,Black or African-American,23.076923076923077
Appling,2023,Black or African-American,12
Appling,2024,Black or African-American,15.151515151515152
Appling,2018,Selected Races Total,8.294930875576037
Appling,2019,Selected Races Total,16.589861751152075
Appling,2020,Selected Races Total,18.137254901960784
Appling,2021,Selected Races Total,12.31527093596059
Appling,2022,Selected Races Total,10
Appling,2023,Selected Races Total,9.803921568627452
Appling,2024,Selected Races Total,6.696428571428571
Atkinson,2018,All Races,4.761904761904762
Atkinson,2019,All Races,10.294117647058822
Atkinson,2020,All Races,9.917355371900827
Atkinson,2021,All Races,11.607142857142858
Atkinson,2022,All Races,9.774436090225564
Atkinson,2023,All Races,13.66906474820144
Atkinson,2024,All Races,10.44776119402985
Atkinson,2018,White,-5
Atkinson,2019,White,9.174311926605505
Atkinson,2020,White,10.891089108910892
Atkinson,2021,White,9.782608695652174
Atkinson,2022,White,10.416666666666668
Atkinson,2023,White,14.423076923076922
Atkinson,2024,White,11.224489795918368
Atkinson,2018,Black or African-American,-5
Atkinson,2019,Black or African-American,-5
Atkinson,2020,Black or African-American,-5
Atkinson,2021,Black or African-American,-5
Atkinson,2022,Black or African-American,-5
Atkinson,2023,Black or African-American,-5
Atkinson,2024,Black or African-American,-5
Atkinson,2018,Selected Races Total,4.761904761904762
Atkinson,2019,Selected Races Total,8.870967741935484
Atkinson,2020,Selected Races Total,11.11111111111111
Atkinson,2021,Selected Races Total,9.615384615384617
Atkinson,2022,Selected Races Total,10.185185185185185
Atkinson,2023,Selected Races Total,14.285714285714285
Atkinson,2024,Selected Races Total,10.256410256410255
Bacon,2018,All Races,10.32258064516129
Bacon,2019,All Races,12.121212121212121
Bacon,2020,All Races,10.909090909090908
Bacon,2021,All Races,7.638888888888889
Bacon,2022,All Races,9.48905109489051
Bacon,2023,All Races,14.545454545454545
Bacon,2024,All Races,14.450867052023122
Bacon,2018,White,11.206896551724139
Bacon,2019,White,11.702127659574469
Bacon,2020,White,9.00900900900901
Bacon,2021,White,6.25
Bacon,2022,White,5.88235294117647
Bacon,2023,White,11.851851851851853
Bacon,2024,White,13.636363636363635
Bacon,2018,Black or African-American,-5
Bacon,2019,Black or African-American,14.705882352941178
Bacon,2020,Black or African-American,17.77777777777778
Bacon,2021,Black or African-American,-5
Bacon,2022,Black or African-American,23.333333333333332
Bacon,2023,Black or African-American,28.000000000000004
Bacon,2024,Black or African-American,20
Bacon,2018,Selected Races Total,10.81081081081081
Bacon,2019,Selected Races Total,12.5
Bacon,2020,Selected Races Total,11.538461538461538
Bacon,2021,Selected Races Total,5.88235294117647
Bacon,2022,Selected Races Total,9.848484848484848
Bacon,2023,Selected Races Total,14.374999999999998
Bacon,2024,Selected Races Total,14.97005988023952
Baker,2018,All Races,-5
Baker,2019,All Races,18.51851851851852
Baker,2020,All Races,24
Baker,2021,All Races,-5
Baker,2022,All Races,-5
Baker,2023,All Races,-5
Baker,2024,All Races,21.21212121212121
Baker,2018,White,-5
Baker,2019,White,-5
Baker,2020,White,-5
Baker,2021,White,0
Baker,2022,White,-5
Baker,2023,White,-5
Baker,2024,White,-5
Baker,2018,Black or African-American,-5
Baker,2019,Black or African-American,-5
Baker,2020,Black or African-American,-5
Baker,2021,Black or African-American,-5
Baker,2022,Black or African-American,-5
Baker,2023,Black or African-American,-5
Baker,2024,Black or African-American,38.46153846153847
Baker,2018,Selected Races Total,-5
Baker,2019,Selected Races Total,18.51851851851852
Baker,2020,Selected Races Total,24
Baker,2021,Selected Races Total,-5
Baker,2022,Selected Races Total,-5
Baker,2023,Selected Races Total,-5
Baker,2024,Selected Races Total,21.21212121212121
Baldwin,2018,All Races,12.709832134292565
Baldwin,2019,All Races,12.878787878787879
Baldwin,2020,All Races,10.79136690647482
Baldwin,2021,All Races,11.345646437994723
Baldwin,2022,All Races,12.91139240506329
Baldwin,2023,All Races,13.554987212276215
Baldwin,2024,All Races,13.725490196078432
Baldwin,2018,White,11.330049261083744
Baldwin,2019,White,13.402061855670103
Baldwin,2020,White,7.6923076923076925
