county,year,value
Appling,2018,8.482142857142858
Appling,2019,16.143497757847534
Appling,2020,17.535545023696685
Appling,2021,12.149532710280374
Appling,2022,10.185185185185185
Appling,2023,10.377358490566039
Appling,2024,6.4655172413793105
Atkinson,2018,4.761904761904762
Atkinson,2019,10.294117647058822
Atkinson,2020,9.917355371900827
Atkinson,2021,11.607142857142858
Atkinson,2022,9.774436090225564
Atkinson,2023,13.66906474820144
Atkinson,2024,10.44776119402985
Bacon,2018,10.32258064516129
Bacon,2019,12.121212121212121
Bacon,2020,10.909090909090908
Bacon,2021,7.638888888888889
Bacon,2022,9.48905109489051
Bacon,2023,14.545454545454545
Bacon,2024,14.450867052023122
Baker,2018,-5
Baker,2019,18.51851851851852
Baker,2020,24
Baker,2021,-5
Baker,2022,-5
Baker,2023,-5
Baker,2024,21.21212121212121
Baldwin,2018,12.709832134292565
Baldwin,2019,12.878787878787879
Baldwin,2020,10.79136690647482
Baldwin,2021,11.345646437994723
Baldwin,2022,12.91139240506329
Baldwin,2023,13.554987212276215
Baldwin,2024,13.725490196078432
Banks,2018,10.576923076923077
Banks,2019,9.230769230769232
Banks,2020,12.16931216931217
Banks,2021,11.428571428571429
Banks,2022,9.583333333333334
Banks,2023,15.481171548117153
Banks,2024,11.83206106870229
Barrow,2018,9.473684210526317
Barrow,2019,11.969839773798304
Barrow,2020,9.790874524714829
Barrow,2021,11.76470588235294
Barrow,2022,12.137203166226913
Barrow,2023,10.016025641025642
Barrow,2024,10.878010878010878
Bartow,2018,11.872909698996656
Bartow,2019,11.53250773993808
Bartow,2020,9.916094584286803
Bartow,2021,10.464259395725865
Bartow,2022,10.404191616766468
Bartow,2023,11.006517016654598
Bartow,2024,10.840998685939553
Ben Hill,2018,14.285714285714285
Ben Hill,2019,10.256410256410255
Ben Hill,2020,12.698412698412698
Ben Hill,2021,15.346534653465346
Ben Hill,2022,14.975845410628018
Ben Hill,2023,16.748768472906402
Ben Hill,2024,14.432989690721648
Berrien,2018,11.688311688311687
Berrien,2019,11.11111111111111
Berrien,2020,12.5
Berrien,2021,8.737864077669903
Berrien,2022,9.174311926605505
Berrien,2023,12.5
Berrien,2024,17.80821917808219
Bibb,2018,13.875847678664579
Bibb,2019,14.873096446700506
Bibb,2020,14.475025484199797
Bibb,2021,16.34419551934827
Bibb,2022,14.530776992936428
Bibb,2023,13.952225841476656
Bibb,2024,16.241540864133263
Bleckley,2018,6.451612903225806
Bleckley,2019,12.32876712328767
Bleckley,2020,11.023622047244094
Bleckley,2021,14.166666666666666
Bleckley,2022,15.702479338842975
Bleckley,2023,18.620689655172416
Bleckley,2024,9.774436090225564
Brantley,2018,11.570247933884298
Brantley,2019,14.85148514851485
Brantley,2020,14.903846153846153
Brantley,2021,11.594202898550725
Brantley,2022,17.370892018779344
Brantley,2023,15.07537688442211
Brantley,2024,15.981735159817351
Brooks,2018,10.365853658536585
Brooks,2019,14.3646408839779
Brooks,2020,11.363636363636363
Brooks,2021,21.875
Brooks,2022,10.759493670886076
Brooks,2023,12.352941176470589
Brooks,2024,11.881188118811881
Bryan,2018,8.897485493230175
Bryan,2019,11.030741410488245
Bryan,2020,11.073825503355705
Bryan,2021,10.472972972972974
Bryan,2022,11.532385466034755
Bryan,2023,10.641891891891891
Bryan,2024,12.411347517730496
Bulloch,2018,11.098779134295228
Bulloch,2019,13.5706340378198
Bulloch,2020,11.098265895953757
Bulloch,2021,11.962833914053427
Bulloch,2022,11.617312072892938
Bulloch,2023,12.582781456953644
Bulloch,2024,14.238042269187986
Burke,2018,12.5
Burke,2019,13.953488372093023
Burke,2020,10.915492957746478
Burke,2021,10.948905109489052
Burke,2022,11.447811447811448
Burke,2023,10.408921933085502
Burke,2024,11.498257839721255
Butts,2018,16.129032258064516
Butts,2019,12.5
Butts,2020,14.885496183206106
Butts,2021,13.533834586466165
Butts,2022,12.36749116607774
Butts,2023,14.799999999999999
Butts,2024,11.619718309859154
Calhoun,2018,14.583333333333334
Calhoun,2019,16
Calhoun,2020,13.461538461538462
Calhoun,2021,22.58064516129032
Calhoun,2022,19.047619047619047
Calhoun,2023,27.083333333333332
Calhoun,2024,12.195121951219512
Camden,2018,9.31174089068826
Camden,2019,11.444141689373296
Camden,2020,12.413793103448276
Camden,2021,11.456859971711458
Camden,2022,10.68090787716956
Camden,2023,12.682215743440233
Camden,2024,12.362637362637363
Candler,2018,13.492063492063492
Candler,2019,13.571428571428571
Candler,2020,16.666666666666664
Candler,2021,15.032679738562091
Candler,2022,12.676056338028168
Candler,2023,18.4
Candler,2024,12.4031007751938
Carroll,2018,10.252904989747096
Carroll,2019,8.667529107373868
Carroll,2020,11.760883690708251
Carroll,2021,10.0599600266489
Carroll,2022,10.340314136125654
Carroll,2023,10.446780551905388
Carroll,2024,9.786950732356857
Catoosa,2018,11.933534743202417
Catoosa,2019,10.048622366288493
Catoosa,2020,11.554921540656206
Catoosa,2021,9.985935302390999
Catoosa,2022,10.751104565537556
Catoosa,2023,9.647779479326186
Catoosa,2024,9.911242603550296
Charlton,2018,11.320754716981133
Charlton,2019,12.962962962962962
Charlton,2020,15.454545454545453
Charlton,2021,10.344827586206897
Charlton,2022,8.108108108108109
Charlton,2023,9.00900900900901
Charlton,2024,12.903225806451612
Chatham,2018,12.592592592592592
Chatham,2019,12.933406714364338
Chatham,2020,12.319259687680741
Chatham,2021,14.05990016638935
Chatham,2022,13.580246913580247
Chatham,2023,12.672876093705899
