County,Premature Births % 2018,Premature Births % 2024,Δ 2018→2024,Slope (%/yr),p-value,Years of data
Lincoln,12.99,-5.0,-17.99,-1.91,0.12,7
Crawford,15.18,-5.0,-20.18,-1.47,0.32,7
Clay,-5.0,-5.0,0.0,0.22,0.94,7
Taliaferro,-5.0,-5.0,0.0,0.36,0.92,7
Webster,19.23,0.0,-19.23,0.23,0.95,7
Quitman,-5.0,0.0,5.0,3.27,0.35,7
Appling,8.48,6.47,-2.02,-0.89,0.27,7
Fannin,10.53,6.94,-3.59,-0.1,0.86,7
Lumpkin,7.32,7.3,-0.02,0.23,0.63,7
Jefferson,14.43,7.3,-7.13,-0.44,0.52,7
Twiggs,7.06,7.69,0.63,-0.65,0.58,7
Towns,7.69,8.24,0.54,1.21,0.27,7
Marion,8.25,8.7,0.45,0.32,0.67,7
Hall,10.2,8.75,-1.45,-0.25,0.06,7
Columbia,9.11,8.85,-0.25,-0.12,0.13,7
Habersham,9.72,8.94,-0.78,-0.07,0.89,7
Oconee,8.45,9.04,0.58,0.28,0.3,7
White,6.93,9.09,2.16,0.67,0.1,7
Heard,8.57,9.23,0.66,-0.1,0.78,7
Cherokee,9.97,9.61,-0.37,-0.17,0.07,7
Rabun,9.72,9.66,-0.07,0.2,0.67,7
Floyd,10.75,9.7,-1.04,-0.02,0.9,7
Forsyth,9.45,9.71,0.26,0.07,0.67,7
Bleckley,6.45,9.77,3.32,0.97,0.23,7
Carroll,10.25,9.79,-0.47,0.03,0.89,7
Hart,13.81,9.81,-3.99,0.1,0.85,7
Gordon,9.23,9.86,0.63,0.32,0.17,7
Catoosa,11.93,9.91,-2.02,-0.27,0.1,7
Telfair,15.7,10.0,-5.7,-0.7,0.11,7
Gilmer,10.71,10.03,-0.68,0.27,0.43,7
Johnson,11.0,10.11,-0.89,-0.17,0.62,7
Walton,11.83,10.12,-1.71,-0.17,0.29,7
Gwinnett,10.86,10.15,-0.71,-0.07,0.4,7
Haralson,9.55,10.22,0.67,0.17,0.42,7
McDuffie,13.78,10.25,-3.54,-0.99,0.07,7
Chattahoochee,9.36,10.3,0.94,0.24,0.47,7
Grady,8.78,10.33,1.56,0.02,0.96,7
Jackson,10.18,10.34,0.17,0.26,0.25,7
Fayette,12.07,10.35,-1.72,-0.31,0.18,7
Morgan,10.29,10.36,0.07,0.41,0.23,7
Schley,-5.0,10.42,15.42,1.46,0.48,7
Walker,11.08,10.45,-0.63,0.09,0.62,7
Atkinson,4.76,10.45,5.69,0.85,0.1,7
Pickens,15.51,10.49,-5.02,-0.46,0.24,7
Emanuel,11.6,10.55,-1.05,0.19,0.61,7
Cobb,10.33,10.64,0.31,0.13,0.08,7
Long,13.86,10.71,-3.15,-0.48,0.19,7
Miller,7.35,10.77,3.42,-0.43,0.76,7
Bartow,11.87,10.84,-1.03,-0.13,0.35,7
Union,8.19,10.85,2.66,-0.07,0.9,7
Echols,12.24,10.87,-1.38,-1.5,0.31,7
Barrow,9.47,10.88,1.4,0.09,0.69,7
Dawson,11.2,10.93,-0.26,-0.26,0.41,7
Whitfield,9.42,11.02,1.61,0.12,0.46,7
Colquitt,13.15,11.26,-1.89,-0.27,0.28,7
Turner,12.7,11.3,-1.39,0.09,0.86,7
Chattooga,10.29,11.33,1.04,-0.14,0.81,7
DeKalb,10.91,11.35,0.44,0.13,0.2,7
Upson,17.22,11.43,-5.79,-0.69,0.02,7
Stephens,10.77,11.46,0.7,0.04,0.84,7
Burke,12.5,11.5,-1.0,-0.34,0.14,7
Coffee,12.65,11.5,-1.15,-0.19,0.29,7
Butts,16.13,11.62,-4.51,-0.41,0.21,7
Seminole,7.32,11.71,4.39,-0.02,0.99,7
Macon,7.63,11.72,4.09,0.16,0.79,7
Paulding,11.53,11.76,0.23,-0.04,0.77,7
Wilkinson,16.83,11.76,-5.07,-0.85,0.26,7
Houston,10.2,11.79,1.59,0.31,0.16,7
Fulton,11.68,11.8,0.12,0.1,0.2,7
Banks,10.58,11.83,1.26,0.49,0.25,7
Douglas,11.33,11.87,0.54,0.15,0.32,7
Jeff Davis,11.3,11.88,0.58,-0.0,1.0,7
Brooks,10.37,11.88,1.52,-0.0,1.0,7
Toombs,11.17,11.93,0.76,0.24,0.65,7
Wayne,13.03,11.98,-1.05,-0.23,0.65,7
Liberty,10.1,12.0,1.9,0.07,0.76,7
Lee,15.1,12.02,-3.08,-0.44,0.36,7
Greene,14.45,12.09,-2.36,-0.22,0.77,7
Mitchell,11.84,12.16,0.32,-0.16,0.76,7
Calhoun,14.58,12.2,-2.39,0.74,0.52,7
Jones,14.29,12.2,-2.08,-0.41,0.11,7
Henry,12.34,12.28,-0.06,-0.03,0.82,7
Wheeler,7.14,12.28,5.14,-0.64,0.68,7
Screven,11.17,12.28,1.11,0.45,0.23,7
Putnam,15.61,12.29,-3.32,-0.1,0.88,7
Camden,9.31,12.36,3.05,0.35,0.12,7
Candler,13.49,12.4,-1.09,0.09,0.86,7
Bryan,8.9,12.41,3.51,0.37,0.06,7
Glynn,10.63,12.5,1.87,0.17,0.52,7
Richmond,11.42,12.6,1.17,0.11,0.47,7
Coweta,12.78,12.61,-0.16,0.1,0.54,7
Treutlen,12.31,12.64,0.34,0.23,0.77,7
Jenkins,21.5,12.66,-8.84,-1.38,0.05,7
Tattnall,10.66,12.69,2.03,0.25,0.16,7
Thomas,14.08,12.79,-1.28,-0.64,0.24,7
Washington,9.09,12.83,3.74,0.43,0.06,7
Troup,16.11,12.86,-3.25,-0.49,0.1,7
Early,16.13,12.87,-3.26,-0.28,0.67,7
Charlton,11.32,12.9,1.58,-0.38,0.49,7
Tift,14.66,13.18,-1.47,0.2,0.62,7
Laurens,11.38,13.19,1.81,0.43,0.03,7
Monroe,13.57,13.24,-0.33,0.2,0.53,7
Evans,13.79,13.38,-0.42,-0.21,0.54,7
McIntosh,4.95,13.46,8.51,1.62,0.06,7
Clarke,11.95,13.53,1.57,0.31,0.1,7
Warren,10.71,13.56,2.85,0.73,0.62,7
Effingham,12.42,13.56,1.14,0.27,0.34,7
Clayton,12.05,13.56,1.52,0.2,0.05,7
Pulaski,9.0,13.64,4.64,0.01,0.99,7
Baldwin,12.71,13.73,1.02,0.23,0.3,7
Clinch,11.25,13.75,2.5,0.19,0.63,7
Harris,14.33,13.76,-0.57,-0.16,0.62,7
Peach,11.82,13.83,2.01,-0.35,0.56,7
Spalding,14.61,13.87,-0.74,0.11,0.75,7
Pike,15.35,13.89,-1.46,-0.15,0.82,7
Worth,14.53,13.92,-0.61,-0.17,0.7,7
Murray,9.22,13.96,4.74,0.92,0.0,7
Dade,10.69,14.06,3.37,0.74,0.22,7
Ware,12.86,14.15,1.29,0.14,0.57,7
Polk,12.97,14.16,1.2,0.54,0.33,7
Cook,12.09,14.22,2.13,0.45,0.21,7
Bulloch,11.1,14.24,3.14,0.28,0.25,7
Chatham,12.59,14.29,1.7,0.21,0.17,7
Ben Hill,14.29,14.43,0.15,0.56,0.17,7
Muscogee,13.58,14.45,0.86,0.16,0.22,7
Bacon,10.32,14.45,4.13,0.56,0.28,7
Lowndes,13.62,14.64,1.02,0.17,0.2,7
